District,Soil_Color,N,P,K,pH,Rainfall,Temperature,Crop,Fertilizer,OC,EC,B,Fe,Mn,Cu,Zn,S,District_Normal_Rainfall,Humidity,N_P_Ratio,N_K_Ratio,P_K_Ratio,Rainfall_Deviation,OC_Class,Soil_Health_Score,Growing_Season
Sangli,Black,105,30,55,7.0,900,35,Cotton,Magnesium Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.64,3.4988,1.9087,0.5454,0.7493,Medium,7,Kharif
Solapur,Black,115,80,60,7.5,600,30,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,67.23,1.4373,1.9163,1.3331,0.2471,Medium,7,Kharif
Kolhapur,Red,110,75,60,6.0,900,30,Cotton,Magnesium Sulphate,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,84.22,1.4665,1.833,1.2498,-0.4807,High,8,Kharif
Kolhapur,Red,110,75,55,7.5,800,25,Cotton,12:32:16 NPK,0.88,0.14,2.88,6.35,17.636,3.25,0.72,50.72,1733.1,82.96,1.4665,1.9996,1.3634,-0.5384,High,8,Kharif
Solapur,Black,100,60,65,8.5,600,10,Cotton,DAP,0.45,0.32,0.16,1.56,1.56,0.58,0.5,7.05,481.1,69.48,1.6664,1.5382,0.9229,0.2471,Medium,5,Kharif
Sangli,Black,120,20,55,7.0,900,25,Cotton,DAP,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,83.33,5.997,2.1814,0.3636,0.7493,Medium,6,Kharif
Satara,Black,55,55,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.58,0.9998,0.7332,0.7332,0.1284,Low,4,Kharif
Satara,Black,50,55,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.86,0.9089,0.6249,0.6874,0.0156,Low,5,Kharif
Satara,Black,45,50,75,6.0,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,83.83,0.8998,0.5999,0.6666,0.1284,Low,5,Kharif
Satara,Black,45,40,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.79,1.1247,0.5999,0.5333,0.1284,Low,4,Kharif
Satara,Black,55,40,70,6.0,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.52,1.3747,0.7856,0.5713,0.0156,Low,5,Kharif
Satara,Black,45,55,65,5.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.55,0.818,0.6922,0.846,0.0156,Low,4,Kharif
Satara,Black,45,45,75,6.5,1000,35,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.65,0.9998,0.5999,0.5999,0.1284,Low,5,Kharif
Satara,Black,55,60,75,5.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.58,0.9165,0.7332,0.7999,0.0156,Low,4,Kharif
Satara,Black,55,55,65,5.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.04,0.9998,0.846,0.846,0.0156,Low,4,Kharif
Satara,Black,60,40,60,5.5,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.82,1.4996,0.9998,0.6666,0.0156,Low,4,Kharif
Satara,Black,50,40,65,6.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,92.78,1.2497,0.7691,0.6153,0.1284,Low,5,Kharif
Satara,Black,45,55,70,6.5,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.53,0.818,0.6428,0.7856,0.1284,Low,5,Kharif
Satara,Black,60,55,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.97,1.0907,0.7499,0.6874,0.0156,Low,5,Kharif
Satara,Black,45,60,70,6.0,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.86,0.7499,0.6428,0.857,0.1284,Low,5,Kharif
Satara,Black,60,55,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.63,1.0907,0.7999,0.7332,0.1284,Low,4,Kharif
Satara,Black,50,40,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.54,1.2497,0.6666,0.5333,0.1284,Low,4,Kharif
Satara,Black,40,50,70,6.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.73,0.7998,0.5713,0.7142,0.0156,Low,5,Kharif
Satara,Black,45,40,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.78,1.1247,0.5624,0.4999,0.0156,Low,5,Kharif
Satara,Black,45,50,70,6.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.92,0.8998,0.6428,0.7142,0.0156,Low,5,Kharif
Satara,Black,60,50,65,6.0,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.82,1.1998,0.9229,0.7691,0.0156,Low,5,Kharif
Satara,Black,50,60,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.74,0.8332,0.8332,0.9998,0.1284,Low,4,Kharif
Satara,Black,55,40,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.72,1.3747,0.7332,0.5333,0.1284,Low,4,Kharif
Satara,Black,40,40,60,5.5,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.94,0.9998,0.6666,0.6666,0.0156,Low,4,Kharif
Satara,Black,45,40,65,6.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.95,1.1247,0.6922,0.6153,0.1284,Low,5,Kharif
Satara,Black,45,45,70,5.5,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,79.74,0.9998,0.6428,0.6428,0.0156,Low,4,Kharif
Satara,Black,50,55,60,6.0,1000,25,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.43,0.9089,0.8332,0.9165,0.1284,Low,5,Kharif
Satara,Black,50,50,70,6.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,79.83,0.9998,0.7142,0.7142,0.0156,Low,5,Kharif
Satara,Black,60,60,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,80.5,0.9998,0.7499,0.7499,0.0156,Low,5,Kharif
Satara,Black,40,60,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,91.5,0.6666,0.6666,0.9998,0.1284,Low,4,Kharif
Satara,Black,55,45,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.36,1.222,0.9165,0.7499,0.1284,Low,4,Kharif
Satara,Black,60,50,60,6.5,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.74,1.1998,0.9998,0.8332,0.1284,Low,5,Kharif
Satara,Black,55,60,65,6.5,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.91,0.9165,0.846,0.9229,0.0156,Low,5,Kharif
Satara,Black,60,50,80,5.5,900,20,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.18,1.1998,0.7499,0.6249,0.0156,Low,4,Kharif
Satara,Black,40,55,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.18,0.7271,0.5333,0.7332,0.1284,Low,4,Kharif
Satara,Black,50,50,65,6.0,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,81.26,0.9998,0.7691,0.7691,0.0156,Low,5,Kharif
Satara,Black,50,60,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.79,0.8332,0.6249,0.7499,0.0156,Low,5,Kharif
Satara,Black,40,55,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.91,0.7271,0.4999,0.6874,0.0156,Low,5,Kharif
Satara,Black,45,45,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.07,0.9998,0.5624,0.5624,0.0156,Low,5,Kharif
Satara,Black,40,50,60,6.5,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.7,0.7998,0.6666,0.8332,0.1284,Low,5,Kharif
Satara,Black,40,45,70,5.5,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.28,0.8887,0.5713,0.6428,0.0156,Low,4,Kharif
Satara,Black,60,55,65,5.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.1,1.0907,0.9229,0.846,0.0156,Low,4,Kharif
Satara,Black,40,45,75,6.5,1000,35,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,91.7,0.8887,0.5333,0.5999,0.1284,Low,5,Kharif
Satara,Black,60,45,65,6.0,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,92.46,1.333,0.9229,0.6922,0.1284,Low,5,Kharif
Satara,Black,55,45,70,5.5,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.43,1.222,0.7856,0.6428,0.0156,Low,4,Kharif
Satara,Black,50,50,80,5.5,900,20,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.61,0.9998,0.6249,0.6249,0.0156,Low,4,Kharif
Satara,Black,40,40,65,6.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.0,0.9998,0.6153,0.6153,0.1284,Low,5,Kharif
Satara,Black,60,55,70,6.5,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.4,1.0907,0.857,0.7856,0.1284,Low,5,Kharif
Satara,Black,55,40,65,6.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.23,1.3747,0.846,0.6153,0.1284,Low,5,Kharif
Satara,Black,45,55,60,6.0,1000,25,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.77,0.818,0.7499,0.9165,0.1284,Low,5,Kharif
Satara,Black,50,60,75,5.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.46,0.8332,0.6666,0.7999,0.0156,Low,4,Kharif
Satara,Black,40,45,65,6.0,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.38,0.8887,0.6153,0.6922,0.1284,Low,5,Kharif
Satara,Black,40,55,60,6.0,1000,25,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.5,0.7271,0.6666,0.9165,0.1284,Low,5,Kharif
Satara,Black,40,60,65,6.5,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.74,0.6666,0.6153,0.9229,0.0156,Low,5,Kharif
Satara,Black,60,50,75,6.0,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.57,1.1998,0.7999,0.6666,0.1284,Low,5,Kharif
Satara,Black,60,60,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,92.51,0.9998,0.9998,0.9998,0.1284,Low,4,Kharif
Satara,Black,40,50,75,6.0,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,95.0,0.7998,0.5333,0.6666,0.1284,Low,5,Kharif
Satara,Black,45,55,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.13,0.818,0.5999,0.7332,0.1284,Low,4,Kharif
Satara,Black,55,55,60,6.0,1000,25,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,93.16,0.9998,0.9165,0.9165,0.1284,Low,5,Kharif
Satara,Black,60,45,70,5.5,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.02,1.333,0.857,0.6428,0.0156,Low,4,Kharif
Satara,Black,40,55,70,6.5,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.21,0.7271,0.5713,0.7856,0.1284,Low,5,Kharif
Satara,Black,50,45,65,6.0,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.23,1.1109,0.7691,0.6922,0.1284,Low,5,Kharif
Satara,Black,55,55,70,6.5,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.09,0.9998,0.7856,0.7856,0.1284,Low,5,Kharif
Satara,Black,55,55,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.66,0.9998,0.6874,0.6874,0.0156,Low,5,Kharif
Satara,Black,40,60,70,6.0,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,91.49,0.6666,0.5713,0.857,0.1284,Low,5,Kharif
Satara,Black,60,55,60,6.0,1000,25,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,91.97,1.0907,0.9998,0.9165,0.1284,Low,5,Kharif
Satara,Black,40,40,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,84.35,0.9998,0.4999,0.4999,0.0156,Low,5,Kharif
Satara,Black,40,45,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.48,0.8887,0.6666,0.7499,0.1284,Low,4,Kharif
Satara,Black,55,45,65,6.0,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,91.07,1.222,0.846,0.6922,0.1284,Low,5,Kharif
Satara,Black,55,50,70,6.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.83,1.0998,0.7856,0.7142,0.0156,Low,5,Kharif
Satara,Black,60,45,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.54,1.333,0.9998,0.7499,0.1284,Low,4,Kharif
Satara,Black,55,40,60,5.5,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.36,1.3747,0.9165,0.6666,0.0156,Low,4,Kharif
Satara,Black,50,55,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.66,0.9089,0.6666,0.7332,0.1284,Low,4,Kharif
Satara,Black,55,50,75,6.0,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.43,1.0998,0.7332,0.6666,0.1284,Low,5,Kharif
Satara,Black,50,60,65,6.5,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.22,0.8332,0.7691,0.9229,0.0156,Low,5,Kharif
Satara,Black,50,60,70,6.0,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.53,0.8332,0.7142,0.857,0.1284,Low,5,Kharif
Satara,Black,45,45,65,6.0,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.32,0.9998,0.6922,0.6922,0.1284,Low,5,Kharif
Satara,Black,40,45,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.99,0.8887,0.4999,0.5624,0.0156,Low,5,Kharif
Satara,Black,50,45,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.86,1.1109,0.8332,0.7499,0.1284,Low,4,Kharif
Satara,Black,40,50,65,6.0,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,80.18,0.7998,0.6153,0.7691,0.0156,Low,5,Kharif
Satara,Black,60,40,70,6.0,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.37,1.4996,0.857,0.5713,0.0156,Low,5,Kharif
Satara,Black,40,40,70,6.0,900,30,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,82.93,0.9998,0.5713,0.5713,0.0156,Low,5,Kharif
Satara,Black,55,45,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.62,1.222,0.6874,0.5624,0.0156,Low,5,Kharif
Satara,Black,45,60,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.17,0.7499,0.7499,0.9998,0.1284,Low,4,Kharif
Satara,Black,60,45,80,6.0,900,20,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.65,1.333,0.7499,0.5624,0.0156,Low,5,Kharif
Satara,Black,45,50,80,5.5,900,20,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.49,0.8998,0.5624,0.6249,0.0156,Low,4,Kharif
Satara,Black,45,60,75,5.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.54,0.7499,0.5999,0.7999,0.0156,Low,4,Kharif
Satara,Black,60,40,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,87.22,1.4996,0.7999,0.5333,0.1284,Low,4,Kharif
Satara,Black,55,60,70,6.0,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.27,0.9165,0.7856,0.857,0.1284,Low,5,Kharif
Satara,Black,45,55,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.15,0.818,0.5624,0.6874,0.0156,Low,5,Kharif
Satara,Black,55,45,75,6.5,1000,35,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.2,1.222,0.7332,0.5999,0.1284,Low,5,Kharif
Satara,Black,40,55,65,5.5,900,30,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.41,0.7271,0.6153,0.846,0.0156,Low,4,Kharif
Satara,Black,55,60,60,5.5,1000,25,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.1,0.9165,0.9165,0.9998,0.1284,Low,4,Kharif
Satara,Black,55,50,60,6.5,1000,25,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.63,1.0998,0.9165,0.8332,0.1284,Low,5,Kharif
Satara,Black,40,60,75,5.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.53,0.6666,0.5333,0.7999,0.0156,Low,4,Kharif
Satara,Black,50,45,75,6.5,1000,35,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,89.34,1.1109,0.6666,0.5999,0.1284,Low,5,Kharif
Satara,Black,40,40,75,5.5,1000,35,Ginger,Urea,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.95,0.9998,0.5333,0.5333,0.1284,Low,4,Kharif
Satara,Black,50,45,70,5.5,900,30,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.54,1.1109,0.7142,0.6428,0.0156,Low,4,Kharif
Satara,Black,50,55,70,6.5,1000,35,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,86.31,0.9089,0.7142,0.7856,0.1284,Low,5,Kharif
Satara,Black,60,45,75,6.5,1000,35,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,90.59,1.333,0.7999,0.5999,0.1284,Low,5,Kharif
Satara,Black,55,50,80,5.5,900,20,Ginger,DAP,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,85.87,1.0998,0.6874,0.6249,0.0156,Low,4,Kharif
Satara,Black,60,40,80,6.5,900,20,Ginger,Ammonium Sulphate,0.295,0.25,0.073,3.96,6.2,2.4,0.793,4.178,886.2,88.45,1.4996,0.7499,0.4999,0.0156,Low,5,Kharif
Sangli,Red,95,55,135,7.5,800,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.83,1.727,0.7037,0.4074,0.5549,Medium,8,Kharif
Sangli,Red,90,55,140,6.0,700,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,72.81,1.6361,0.6428,0.3928,0.3605,Medium,8,Kharif
Sangli,Red,85,50,135,7.5,800,25,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.36,1.6997,0.6296,0.3703,0.5549,Medium,8,Kharif
Sangli,Red,85,40,135,7.5,800,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.72,2.1245,0.6296,0.2963,0.5549,Medium,8,Kharif
Sangli,Red,95,40,130,7.0,700,25,Grapes,Hydrated Lime,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.91,2.3744,0.7307,0.3077,0.3605,Medium,8,Kharif
Sangli,Red,85,55,125,7.0,700,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,75.8,1.5452,0.6799,0.44,0.3605,Medium,8,Kharif
Sangli,Red,85,45,135,7.5,800,30,Grapes,Hydrated Lime,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.8,1.8885,0.6296,0.3333,0.5549,Medium,8,Kharif
Sangli,Red,95,60,135,6.0,700,20,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,77.78,1.5831,0.7037,0.4444,0.3605,Medium,8,Kharif
Sangli,Red,95,55,125,7.0,700,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,70.94,1.727,0.7599,0.44,0.3605,Medium,8,Kharif
Sangli,Red,100,40,120,6.0,700,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,75.89,2.4994,0.8333,0.3333,0.3605,Medium,8,Kharif
Sangli,Red,90,40,125,6.5,800,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,82.59,2.2494,0.7199,0.32,0.5549,Medium,8,Kharif
Sangli,Red,85,55,130,7.5,800,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.89,1.5452,0.6538,0.423,0.5549,Medium,8,Kharif
Sangli,Red,100,55,140,6.0,700,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,74.16,1.8179,0.7142,0.3928,0.3605,Medium,8,Kharif
Sangli,Red,85,60,130,7.5,800,25,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.56,1.4164,0.6538,0.4615,0.5549,Medium,8,Kharif
Sangli,Red,100,55,135,7.5,800,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,77.91,1.8179,0.7407,0.4074,0.5549,Medium,8,Kharif
Sangli,Red,90,40,135,7.5,800,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,81.28,2.2494,0.6666,0.2963,0.5549,Medium,8,Kharif
Sangli,Red,80,50,130,7.0,700,30,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,70.9,1.5997,0.6153,0.3846,0.3605,Medium,8,Kharif
Sangli,Red,85,40,140,6.0,700,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,72.34,2.1245,0.6071,0.2857,0.3605,Medium,8,Kharif
Sangli,Red,85,50,130,7.0,700,30,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,74.52,1.6997,0.6538,0.3846,0.3605,Medium,8,Kharif
Sangli,Red,100,50,125,7.0,700,25,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,75.51,1.9996,0.7999,0.4,0.3605,Medium,8,Kharif
Sangli,Red,90,60,120,6.5,800,20,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,79.04,1.4998,0.7499,0.5,0.5549,Medium,8,Kharif
Sangli,Red,95,40,135,7.5,800,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,77.85,2.3744,0.7037,0.2963,0.5549,Medium,8,Kharif
Sangli,Red,80,40,120,6.0,700,20,Grapes,Ferrous Sulphate,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.17,1.9995,0.6666,0.3333,0.3605,Medium,8,Kharif
Sangli,Red,85,40,125,6.5,800,30,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,80.01,2.1245,0.6799,0.32,0.5549,Medium,8,Kharif
Sangli,Red,85,45,130,7.0,700,20,Grapes,10:10:10 NPK,0.583,0.24,0.973,3.16,6.06,2.88,0.62,10.75,514.5,78.46,1.8885,0.6538,0.3461,0.3605,Medium,8,Kharif
