Division,District,Year,Season,Actual_Rainfall,Normal_Rainfall,Departure,Departure_Percentage,Classification,June_Normal,June_Actual,June_Percentage,July_Normal,July_Actual,July_Percentage,August_Normal,August_Actual,August_Percentage,September_Normal,September_Actual,September_Percentage,Source
Pune,Solapur,2018,Monsoon,187.8,481.1,-293.3,-60.96,Large Deficit,102.5,77.3,75.4,94.8,33.9,35.8,107.5,50.0,46.5,176.3,26.6,15.1,Maharain Portal
Amravati,Akola,2019,Monsoon,614.7,693.7,-79.0,-11.39,Normal,136.9,79.4,58.0,223.2,198.4,88.9,215.5,146.6,68.0,118.1,190.3,161.1,Maharain Portal
Amravati,Amravati,2019,Monsoon,780.6,862.0,-81.4,-9.44,Normal,145.7,93.2,64.0,277.4,287.4,103.6,285.4,206.2,72.2,153.5,193.8,126.3,Maharain Portal
Amravati,Buldhana,2019,Monsoon,693.5,659.4,34.1,5.17,Normal,139.3,134.6,96.6,192.2,199.4,103.7,207.4,145.3,70.1,120.5,214.2,177.8,Maharain Portal
Amravati,Washim,2019,Monsoon,688.6,789.0,-100.4,-12.72,Normal,166.4,117.5,70.6,243.6,234.6,96.3,236.1,134.4,56.9,142.9,202.1,141.4,Maharain Portal
Amravati,Yavatmal,2019,Monsoon,793.8,805.0,-11.2,-1.39,Normal,163.9,110.7,67.5,256.7,296.9,115.7,253.7,185.6,73.2,130.7,200.6,153.5,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2019,Monsoon,459.2,566.1,-106.9,-18.88,Normal,128.4,87.5,68.1,127.7,77.3,60.5,138.0,90.1,65.3,172.0,204.3,118.8,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2019,Monsoon,628.7,581.7,47.0,8.08,Normal,125.2,106.7,85.2,152.2,173.6,114.1,153.8,123.1,80.0,150.5,225.3,149.7,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2019,Monsoon,448.0,603.1,-155.1,-25.72,Deficit,126.9,93.3,73.5,137.1,97.2,70.9,154.4,95.5,61.9,184.7,162.0,87.7,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2019,Monsoon,748.1,795.3,-47.2,-5.93,Normal,169.2,87.9,52.0,230.2,232.1,100.8,241.2,193.2,80.1,154.7,234.9,151.8,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2019,Monsoon,586.7,603.1,-16.4,-2.72,Normal,132.6,109.9,82.9,166.4,172.4,103.6,162.3,104.3,64.3,141.8,200.1,141.1,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2019,Monsoon,516.0,706.0,-190.0,-26.91,Deficit,135.4,90.2,66.6,186.9,104.0,55.6,202.7,147.4,72.7,181.0,174.4,96.4,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2019,Monsoon,821.9,814.4,7.5,0.92,Normal,155.4,91.8,59.1,244.3,224.8,92.0,247.3,225.8,91.3,167.4,279.5,167.0,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2019,Monsoon,595.9,761.3,-165.4,-21.73,Deficit,145.3,86.0,59.2,219.2,124.2,56.7,227.8,130.4,57.2,169.0,255.3,151.1,Maharain Portal
Konkan,Palghar,2019,Monsoon,3483.8,2305.4,1178.4,51.11,Excess,411.9,412.6,100.2,905.0,1378.3,152.3,669.7,777.3,116.1,318.8,915.6,287.2,Maharain Portal
Konkan,Raigad,2019,Monsoon,4011.1,3148.6,862.5,27.39,Excess,655.8,534.8,81.5,1206.2,1582.1,131.2,874.5,928.6,106.2,412.1,965.6,234.3,Maharain Portal
Konkan,Ratnagiri,2019,Monsoon,4256.4,3195.1,1061.3,33.22,Excess,813.5,689.0,84.7,1151.6,1589.7,138.0,835.9,1023.1,122.4,394.1,954.6,242.2,Maharain Portal
Konkan,Sindhudurg,2019,Monsoon,3698.1,2940.5,757.6,25.76,Excess,880.1,733.7,83.4,1043.6,1219.1,116.8,689.2,972.0,141.0,327.6,773.3,236.1,Maharain Portal
Konkan,Thane,2019,Monsoon,3590.6,2433.4,1157.2,47.55,Excess,461.9,505.9,109.5,942.3,1487.1,157.8,691.3,805.5,116.5,337.9,792.1,234.4,Maharain Portal
Nagpur,Bhandara,2019,Monsoon,1237.4,1157.0,80.4,6.95,Normal,189.3,82.0,43.3,382.6,387.9,101.4,387.6,377.9,97.5,197.5,389.6,197.3,Maharain Portal
Nagpur,Chandrapur,2019,Monsoon,1310.1,1084.0,226.1,20.86,Excess,183.5,131.6,71.7,357.2,418.6,117.2,362.9,446.0,122.9,180.4,313.9,174.0,Maharain Portal
Nagpur,Gadchiroli,2019,Monsoon,1672.7,1254.1,418.6,33.38,Excess,210.9,97.0,46.0,427.9,463.1,108.2,426.5,599.4,140.5,188.8,513.2,271.8,Maharain Portal
Nagpur,Gondia,2019,Monsoon,1242.7,1220.3,22.4,1.84,Normal,192.8,99.8,51.8,414.9,378.1,91.1,413.9,401.1,96.9,198.7,363.7,183.0,Maharain Portal
Nagpur,Nagpur,2019,Monsoon,1057.4,920.4,137.0,14.88,Normal,166.3,80.9,48.6,304.4,373.8,122.8,281.3,284.1,101.0,168.4,318.6,189.2,Maharain Portal
Nagpur,Wardha,2019,Monsoon,853.0,874.5,-21.5,-2.46,Normal,174.1,73.2,42.0,273.6,338.0,123.5,271.6,240.1,88.4,155.2,201.7,130.0,Maharain Portal
Nashik,Ahmednagar,2019,Monsoon,489.4,448.1,41.3,9.22,Normal,108.2,102.5,94.7,97.5,134.7,138.2,95.4,95.6,100.2,147.0,156.6,106.5,Maharain Portal
Nashik,Dhule,2019,Monsoon,740.4,535.1,205.3,38.37,Excess,121.5,61.1,50.3,170.9,186.3,109.0,133.2,252.6,189.6,109.5,240.4,219.5,Maharain Portal
Nashik,Jalgaon,2019,Monsoon,812.0,632.6,179.4,28.36,Excess,123.7,87.1,70.4,189.2,225.8,119.3,196.1,261.8,133.5,123.6,237.3,192.0,Maharain Portal
Nashik,Nandurbar,2019,Monsoon,1000.2,860.4,139.8,16.25,Normal,155.9,49.2,31.6,305.6,287.5,94.1,252.2,512.2,203.1,146.7,151.3,103.1,Maharain Portal
Nashik,Nashik,2019,Monsoon,1054.3,933.8,120.5,12.9,Normal,174.4,81.0,46.4,308.9,392.1,126.9,266.9,339.6,127.2,183.6,241.6,131.6,Maharain Portal
Pune,Kolhapur,2019,Monsoon,2044.8,1733.1,311.7,17.99,Normal,362.9,243.6,67.1,685.5,645.0,94.1,485.9,833.6,171.6,198.8,322.6,162.3,Maharain Portal
Pune,Pune,2019,Monsoon,1120.0,861.6,258.4,29.99,Excess,176.2,156.6,88.9,309.3,438.8,141.9,219.6,277.8,126.5,156.5,246.8,157.7,Maharain Portal
Pune,Sangli,2019,Monsoon,715.1,514.5,200.6,38.99,Excess,129.0,111.1,86.1,135.5,220.7,162.9,111.4,230.0,206.5,138.6,153.3,110.6,Maharain Portal
Pune,Satara,2019,Monsoon,1332.5,886.2,446.3,50.36,Excess,194.1,163.8,84.4,307.2,463.4,150.8,224.8,454.2,202.0,160.1,251.1,156.8,Maharain Portal
Pune,Solapur,2019,Monsoon,331.2,481.1,-149.9,-31.16,Deficit,102.5,69.8,68.1,94.8,82.0,86.5,107.5,50.3,46.8,176.3,129.1,73.2,Maharain Portal
Amravati,Akola,2020,Monsoon,587.2,693.7,-106.5,-15.35,Normal,136.9,126.5,92.4,223.2,208.2,93.3,215.5,169.8,78.8,118.1,82.7,70.0,Maharain Portal
Amravati,Amravati,2020,Monsoon,819.3,862.0,-42.7,-4.95,Normal,145.7,192.2,131.9,277.4,254.5,91.7,285.4,220.9,77.4,153.5,151.7,98.8,Maharain Portal
Amravati,Buldhana,2020,Monsoon,768.3,659.4,108.9,16.52,Normal,139.3,189.2,135.8,192.2,213.4,111.0,207.4,208.4,100.5,120.5,157.3,130.5,Maharain Portal
Amravati,Washim,2020,Monsoon,981.9,789.0,192.9,24.45,Excess,166.4,248.6,149.4,243.6,277.2,113.8,236.1,218.3,92.5,142.9,237.8,166.4,Maharain Portal
Amravati,Yavatmal,2020,Monsoon,741.5,805.0,-63.5,-7.89,Normal,163.9,161.2,98.4,256.7,269.2,104.9,253.7,176.7,69.6,130.7,134.4,102.8,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2020,Monsoon,698.8,566.1,132.7,23.44,Excess,128.4,198.5,154.6,127.7,201.7,157.9,138.0,86.2,62.5,172.0,212.4,123.5,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2020,Monsoon,970.6,581.7,388.9,66.86,Large Excess,125.2,287.2,229.4,152.2,227.7,149.6,153.8,171.3,111.4,150.5,284.4,189.0,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2020,Monsoon,611.7,603.1,8.6,1.43,Normal,126.9,125.4,98.8,137.1,118.6,86.5,154.4,86.8,56.2,184.7,280.9,152.1,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2020,Monsoon,960.7,795.3,165.4,20.8,Excess,169.2,235.4,139.1,230.2,276.6,120.2,241.2,192.4,79.8,154.7,256.3,165.7,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2020,Monsoon,949.5,603.1,346.4,57.44,Excess,132.6,278.2,209.8,166.4,259.7,156.1,162.3,190.8,117.6,141.8,220.8,155.7,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2020,Monsoon,736.9,706.0,30.9,4.38,Normal,135.4,178.8,132.1,186.9,154.4,82.6,202.7,109.0,53.8,181.0,294.7,162.8,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2020,Monsoon,820.2,814.4,5.8,0.71,Normal,155.4,146.0,94.0,244.3,204.7,83.8,247.3,204.6,82.7,167.4,264.9,158.2,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2020,Monsoon,824.0,761.3,62.7,8.24,Normal,145.3,199.3,137.2,219.2,229.8,104.8,227.8,136.8,60.1,169.0,258.1,152.7,Maharain Portal
Konkan,Palghar,2020,Monsoon,2512.9,2305.4,207.5,9.0,Normal,411.9,223.2,54.2,905.0,697.3,77.0,669.7,1318.0,196.8,318.8,274.4,86.1,Maharain Portal
Konkan,Raigad,2020,Monsoon,2542.5,3148.6,-606.1,-19.25,Deficit,655.8,359.1,54.8,1206.2,713.5,59.2,874.5,1099.9,125.8,412.1,370.0,89.8,Maharain Portal
Konkan,Ratnagiri,2020,Monsoon,3440.7,3195.1,245.6,7.69,Normal,813.5,688.5,84.6,1151.6,1017.6,88.4,835.9,1313.8,157.2,394.1,420.8,106.8,Maharain Portal
Konkan,Sindhudurg,2020,Monsoon,4039.8,2940.5,1099.3,37.38,Excess,880.1,958.1,108.9,1043.6,1288.3,123.4,689.2,1080.3,156.7,327.6,713.1,217.7,Maharain Portal
Konkan,Thane,2020,Monsoon,2412.3,2433.4,-21.1,-0.87,Normal,461.9,298.7,64.7,942.3,613.1,65.1,691.3,1176.3,170.2,337.9,324.2,95.9,Maharain Portal
Nagpur,Bhandara,2020,Monsoon,1172.4,1157.0,15.4,1.33,Normal,189.3,227.3,120.1,382.6,225.2,58.9,387.6,633.8,163.5,197.5,86.1,43.6,Maharain Portal
Nagpur,Chandrapur,2020,Monsoon,859.5,1084.0,-224.5,-20.71,Deficit,183.5,186.8,101.8,357.2,323.5,90.6,362.9,234.4,64.6,180.4,114.8,63.6,Maharain Portal
Nagpur,Gadchiroli,2020,Monsoon,1011.4,1254.1,-242.7,-19.35,Deficit,210.9,138.3,65.6,427.9,274.1,64.1,426.5,401.6,94.2,188.8,197.4,104.6,Maharain Portal
Nagpur,Gondia,2020,Monsoon,1288.5,1220.3,68.2,5.59,Normal,192.8,193.5,100.4,414.9,239.3,57.7,413.9,750.2,181.3,198.7,105.5,53.1,Maharain Portal
Nagpur,Nagpur,2020,Monsoon,972.5,920.4,52.1,5.66,Normal,166.3,188.5,113.3,304.4,249.5,82.0,281.3,372.2,132.3,168.4,162.3,96.4,Maharain Portal
Nagpur,Wardha,2020,Monsoon,737.1,874.5,-137.4,-15.71,Normal,174.1,156.2,89.7,273.6,259.2,94.7,271.6,187.2,68.9,155.2,134.5,86.7,Maharain Portal
Nashik,Ahmednagar,2020,Monsoon,762.9,448.1,314.8,70.25,Large Excess,108.2,222.8,205.9,97.5,197.9,203.0,95.4,109.2,114.5,147.0,233.0,158.5,Maharain Portal
Nashik,Dhule,2020,Monsoon,709.2,535.1,174.1,32.54,Excess,121.5,218.1,179.5,170.9,204.8,119.8,133.2,154.9,116.3,109.5,131.4,120.0,Maharain Portal
Nashik,Jalgaon,2020,Monsoon,857.8,632.6,225.2,35.6,Excess,123.7,205.4,166.0,189.2,244.0,129.0,196.1,240.9,122.8,123.6,167.5,135.5,Maharain Portal
Nashik,Nandurbar,2020,Monsoon,632.5,860.4,-227.9,-26.49,Deficit,155.9,115.6,74.2,305.6,139.6,45.7,252.2,249.7,99.0,146.7,127.6,87.0,Maharain Portal
Nashik,Nashik,2020,Monsoon,842.5,933.8,-91.3,-9.78,Normal,174.4,236.8,135.8,308.9,185.6,60.1,266.9,211.1,79.1,183.6,209.0,113.8,Maharain Portal
Pune,Kolhapur,2020,Monsoon,1395.6,1733.1,-337.5,-19.47,Deficit,362.9,318.8,87.8,685.5,242.0,35.3,485.9,622.7,128.2,198.8,212.1,106.7,Maharain Portal
Pune,Pune,2020,Monsoon,865.2,861.6,3.6,0.42,Normal,176.2,188.8,107.2,309.3,142.4,46.0,219.6,345.1,157.1,156.5,188.9,120.7,Maharain Portal
Pune,Sangli,2020,Monsoon,684.3,514.5,169.8,33.0,Excess,129.0,179.6,139.2,135.5,120.5,88.9,111.4,188.2,168.9,138.6,196.0,141.4,Maharain Portal
Pune,Satara,2020,Monsoon,938.2,886.2,52.0,5.87,Normal,194.1,185.0,95.3,307.2,164.3,53.5,224.8,405.9,180.6,160.1,183.0,114.3,Maharain Portal
Pune,Solapur,2020,Monsoon,533.4,481.1,52.3,10.87,Normal,102.5,151.0,147.3,94.8,167.6,176.8,107.5,73.4,68.3,176.3,141.4,80.2,Maharain Portal
Amravati,Akola,2021,Monsoon,780.6,693.7,86.9,12.53,Normal,136.9,95.2,69.5,223.2,306.4,137.3,215.5,133.0,61.7,118.1,246.0,208.3,Maharain Portal
Amravati,Amravati,2021,Monsoon,851.3,862.0,-10.7,-1.24,Normal,145.7,213.1,146.3,277.4,212.9,76.7,285.4,130.3,45.6,153.5,295.0,192.2,Maharain Portal
Amravati,Buldhana,2021,Monsoon,790.1,659.4,130.7,19.82,Normal,139.3,182.4,131.0,192.2,189.0,98.3,207.4,138.3,66.7,120.5,280.4,232.7,Maharain Portal
Amravati,Washim,2021,Monsoon,1025.6,789.0,236.6,29.99,Excess,166.4,239.2,143.7,243.6,295.8,121.4,236.1,162.2,68.7,142.9,328.4,229.8,Maharain Portal
Amravati,Yavatmal,2021,Monsoon,1075.1,805.0,270.1,33.55,Excess,163.9,279.7,170.6,256.7,274.9,107.1,253.7,224.7,88.6,130.7,295.8,226.3,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2021,Monsoon,989.6,566.1,423.5,74.81,Large Excess,128.4,190.4,148.3,127.7,201.9,158.1,138.0,180.1,130.5,172.0,417.2,242.6,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2021,Monsoon,930.9,581.7,349.2,60.03,Large Excess,125.2,151.0,120.6,152.2,181.3,119.1,153.8,195.0,126.8,150.5,403.6,268.2,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2021,Monsoon,829.1,603.1,226.0,37.47,Excess,126.9,137.6,108.4,137.1,203.9,148.7,154.4,152.3,98.6,184.7,335.3,181.5,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2021,Monsoon,1078.5,795.3,283.2,35.61,Excess,169.2,251.6,148.7,230.2,302.4,131.4,241.2,155.7,64.6,154.7,368.8,238.4,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2021,Monsoon,1104.9,603.1,501.8,83.2,Large Excess,132.6,214.8,162.0,166.4,255.8,153.7,162.3,198.3,122.2,141.8,436.0,307.5,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2021,Monsoon,907.8,706.0,201.8,28.58,Excess,135.4,197.0,145.5,186.9,234.4,125.4,202.7,165.6,81.7,181.0,310.8,171.7,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2021,Monsoon,1167.0,814.4,352.6,43.3,Excess,155.4,224.4,144.4,244.3,387.9,158.8,247.3,180.4,73.0,167.4,374.3,223.6,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2021,Monsoon,1100.8,761.3,339.5,44.59,Excess,145.3,250.0,172.0,219.2,325.4,148.4,227.8,142.3,62.5,169.0,383.1,226.7,Maharain Portal
Konkan,Palghar,2021,Monsoon,2761.2,2305.4,455.8,19.77,Normal,411.9,740.2,179.7,905.0,862.3,95.3,669.7,374.5,55.9,318.8,784.2,246.0,Maharain Portal
Konkan,Raigad,2021,Monsoon,3284.2,3148.6,135.6,4.31,Normal,655.8,842.9,128.5,1206.2,1469.8,121.9,874.5,338.3,38.7,412.1,633.2,153.7,Maharain Portal
Konkan,Ratnagiri,2021,Monsoon,4284.9,3195.1,1089.8,34.11,Excess,813.5,1221.7,150.2,1151.6,1781.9,154.7,835.9,409.9,49.0,394.1,871.4,221.1,Maharain Portal
Konkan,Sindhudurg,2021,Monsoon,3872.4,2940.5,931.9,31.69,Excess,880.1,1031.1,117.2,1043.6,1594.6,152.8,689.2,482.1,70.0,327.6,764.6,233.4,Maharain Portal
Konkan,Thane,2021,Monsoon,2689.3,2433.4,255.9,10.52,Normal,461.9,702.3,152.0,942.3,938.2,99.6,691.3,310.0,44.8,337.9,738.8,218.6,Maharain Portal
Nagpur,Bhandara,2021,Monsoon,1099.8,1157.0,-57.2,-4.94,Normal,189.3,262.3,138.5,382.6,341.0,89.1,387.6,195.5,50.4,197.5,301.0,152.4,Maharain Portal
Nagpur,Chandrapur,2021,Monsoon,1272.0,1084.0,188.0,17.34,Normal,183.5,306.1,166.8,357.2,477.7,133.7,362.9,187.4,51.6,180.4,300.8,166.8,Maharain Portal
Nagpur,Gadchiroli,2021,Monsoon,1222.6,1254.1,-31.5,-2.51,Normal,210.9,206.8,98.1,427.9,422.2,98.7,426.5,259.3,60.8,188.8,334.3,177.1,Maharain Portal
Nagpur,Gondia,2021,Monsoon,1165.0,1220.3,-55.3,-4.53,Normal,192.8,209.2,108.5,414.9,363.5,87.6,413.9,218.8,52.9,198.7,373.5,188.0,Maharain Portal
Nagpur,Nagpur,2021,Monsoon,1020.5,920.4,100.1,10.88,Normal,166.3,200.4,120.5,304.4,309.6,101.7,281.3,165.2,58.7,168.4,345.3,205.0,Maharain Portal
Nagpur,Wardha,2021,Monsoon,932.6,874.5,58.1,6.64,Normal,174.1,248.6,142.8,273.6,260.3,95.1,271.6,155.7,57.3,155.2,268.0,172.7,Maharain Portal
Nashik,Ahmednagar,2021,Monsoon,565.3,448.1,117.2,26.15,Excess,108.2,140.5,129.9,97.5,121.8,124.9,95.4,112.5,118.0,147.0,190.5,129.6,Maharain Portal
Nashik,Dhule,2021,Monsoon,610.6,535.1,75.5,14.11,Normal,121.5,98.5,81.1,170.9,116.2,68.0,133.2,143.5,107.8,109.5,252.4,230.5,Maharain Portal
Nashik,Jalgaon,2021,Monsoon,752.0,632.6,119.4,18.87,Normal,123.7,149.2,120.6,189.2,115.3,60.9,196.1,153.0,78.0,123.6,334.5,270.7,Maharain Portal
Nashik,Nandurbar,2021,Monsoon,578.8,860.4,-281.6,-32.73,Deficit,155.9,68.2,43.7,305.6,119.3,39.0,252.2,92.6,36.7,146.7,298.7,203.6,Maharain Portal
Nashik,Nashik,2021,Monsoon,785.3,933.8,-148.5,-15.9,Normal,174.4,124.4,71.3,308.9,220.9,71.5,266.9,157.1,58.9,183.6,282.9,154.1,Maharain Portal
Pune,Kolhapur,2021,Monsoon,1476.6,1733.1,-256.5,-14.8,Normal,362.9,399.9,110.2,685.5,740.1,108.0,485.9,141.3,29.1,198.8,195.3,98.2,Maharain Portal
Pune,Pune,2021,Monsoon,702.8,861.6,-158.8,-18.43,Normal,176.2,186.1,105.6,309.3,287.0,92.8,219.6,68.2,31.1,156.5,161.5,103.2,Maharain Portal
Pune,Sangli,2021,Monsoon,686.6,514.5,172.1,33.45,Excess,129.0,202.3,156.8,135.5,320.8,236.8,111.4,72.4,65.0,138.6,91.1,65.7,Maharain Portal
Pune,Satara,2021,Monsoon,893.8,886.2,7.6,0.86,Normal,194.1,264.4,136.2,307.2,439.1,142.9,224.8,66.1,29.4,160.1,124.2,77.6,Maharain Portal
Pune,Solapur,2021,Monsoon,533.6,481.1,52.5,10.91,Normal,102.5,139.0,135.6,94.8,133.7,141.0,107.5,85.9,79.9,176.3,175.0,99.2,Maharain Portal
Amravati,Akola,2022,Monsoon,679.0,693.7,-14.7,-2.12,Normal,136.9,115.0,84.0,223.2,270.8,121.3,215.5,131.3,60.9,118.1,161.9,137.1,Maharain Portal
Amravati,Amravati,2022,Monsoon,936.6,862.0,74.6,8.65,Normal,145.7,95.4,65.5,277.4,389.0,140.2,285.4,211.6,74.1,153.5,240.6,156.7,Maharain Portal
Amravati,Buldhana,2022,Monsoon,678.2,659.4,18.8,2.85,Normal,139.3,123.9,88.9,192.2,269.2,140.1,207.4,108.1,52.1,120.5,177.0,146.9,Maharain Portal
Amravati,Washim,2022,Monsoon,845.9,789.0,56.9,7.21,Normal,166.4,108.4,65.1,243.6,387.5,159.1,236.1,202.7,85.9,142.9,147.3,103.1,Maharain Portal
Amravati,Yavatmal,2022,Monsoon,1109.9,805.0,304.9,37.88,Excess,163.9,97.8,59.7,256.7,561.2,218.6,253.7,222.7,87.8,130.7,228.2,174.6,Maharain Portal
Chhatrapati Sambhajinagar,Beed,2022,Monsoon,637.4,566.1,71.3,12.59,Normal,128.4,154.2,120.1,127.7,219.2,171.7,138.0,59.2,42.9,172.0,204.8,119.1,Maharain Portal
Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,2022,Monsoon,661.7,581.7,80.0,13.75,Normal,125.2,138.0,110.2,152.2,222.5,146.2,153.8,93.8,61.0,150.5,207.4,137.8,Maharain Portal
Chhatrapati Sambhajinagar,Dharashiv,2022,Monsoon,664.0,603.1,60.9,10.1,Normal,126.9,106.5,83.9,137.1,254.7,185.8,154.4,113.0,73.2,184.7,189.8,102.8,Maharain Portal
Chhatrapati Sambhajinagar,Hingoli,2022,Monsoon,885.6,795.3,90.3,11.35,Normal,169.2,121.7,71.9,230.2,481.3,209.1,241.2,128.4,53.2,154.7,154.2,99.7,Maharain Portal
Chhatrapati Sambhajinagar,Jalna,2022,Monsoon,782.9,603.1,179.8,29.81,Excess,132.6,132.1,99.6,166.4,322.1,193.6,162.3,87.3,53.8,141.8,241.4,170.2,Maharain Portal
Chhatrapati Sambhajinagar,Latur,2022,Monsoon,737.8,706.0,31.8,4.5,Normal,135.4,143.2,105.8,186.9,320.4,171.4,202.7,74.8,36.9,181.0,199.4,110.2,Maharain Portal
Chhatrapati Sambhajinagar,Nanded,2022,Monsoon,1046.3,814.4,231.9,28.47,Excess,155.4,141.9,91.3,244.3,607.3,248.6,247.3,114.7,46.4,167.4,182.4,109.0,Maharain Portal
Chhatrapati Sambhajinagar,Parbhani,2022,Monsoon,650.4,761.3,-110.9,-14.57,Normal,145.3,137.4,94.6,219.2,312.8,142.7,227.8,59.5,26.1,169.0,140.7,83.3,Maharain Portal
Konkan,Palghar,2022,Monsoon,2634.6,2305.4,329.2,14.28,Normal,411.9,232.9,56.5,905.0,1315.7,145.4,669.7,552.6,82.5,318.8,533.4,167.3,Maharain Portal
Konkan,Raigad,2022,Monsoon,2990.2,3148.6,-158.4,-5.03,Normal,655.8,302.2,46.1,1206.2,1376.6,114.1,874.5,778.3,89.0,412.1,533.1,129.4,Maharain Portal
Konkan,Ratnagiri,2022,Monsoon,3012.7,3195.1,-182.4,-5.71,Normal,813.5,621.7,76.4,1151.6,1086.6,94.4,835.9,876.2,104.8,394.1,428.2,108.7,Maharain Portal
Konkan,Sindhudurg,2022,Monsoon,3116.8,2940.5,176.3,6.0,Normal,880.1,785.8,89.3,1043.6,1113.7,106.7,689.2,725.8,105.3,327.6,491.5,150.0,Maharain Portal
Konkan,Thane,2022,Monsoon,2632.4,2433.4,199.0,8.18,Normal,461.9,172.6,37.4,942.3,1226.7,130.2,691.3,561.8,81.3,337.9,671.3,198.7,Maharain Portal
Nagpur,Bhandara,2022,Monsoon,1447.9,1157.0,290.9,25.14,Excess,189.3,129.3,68.3,382.6,529.5,138.4,387.6,472.4,121.9,197.5,316.7,160.4,Maharain Portal
Nagpur,Chandrapur,2022,Monsoon,1478.4,1084.0,394.4,36.38,Excess,183.5,143.2,78.0,357.2,737.8,206.6,362.9,355.9,98.1,180.4,241.5,133.9,Maharain Portal
Nagpur,Gadchiroli,2022,Monsoon,1879.4,1254.1,625.3,49.86,Excess,210.9,126.6,60.0,427.9,916.8,214.3,426.5,475.7,111.5,188.8,360.3,190.8,Maharain Portal
Nagpur,Gondia,2022,Monsoon,1676.7,1220.3,456.4,37.4,Excess,192.8,152.2,78.9,414.9,600.4,144.7,413.9,613.0,148.1,198.7,311.1,156.6,Maharain Portal
Nagpur,Nagpur,2022,Monsoon,1432.3,920.4,511.9,55.62,Excess,166.3,108.0,64.9,304.4,611.4,200.9,281.3,381.9,135.8,168.4,331.0,196.6,Maharain Portal
Nagpur,Wardha,2022,Monsoon,1361.5,874.5,487.0,55.69,Excess,174.1,104.7,60.1,273.6,722.4,264.0,271.6,281.8,103.8,155.2,252.6,162.8,Maharain Portal
Nashik,Ahmednagar,2022,Monsoon,577.2,448.1,129.1,28.81,Excess,108.2,113.6,105.0,97.5,121.2,124.3,95.4,109.0,114.3,147.0,233.4,158.8,Maharain Portal
Nashik,Dhule,2022,Monsoon,648.7,535.1,113.6,21.23,Excess,121.5,109.2,89.9,170.9,200.0,117.0,133.2,164.5,123.5,109.5,175.0,159.8,Maharain Portal
Nashik,Jalgaon,2022,Monsoon,645.5,632.6,12.9,2.04,Normal,123.7,89.8,72.6,189.2,232.9,123.1,196.1,117.7,60.0,123.6,205.1,165.9,Maharain Portal
Nashik,Nandurbar,2022,Monsoon,757.6,860.4,-102.8,-11.95,Normal,155.9,55.9,35.9,305.6,331.6,108.5,252.2,216.0,85.6,146.7,154.1,105.0,Maharain Portal
Nashik,Nashik,2022,Monsoon,1208.8,933.8,275.0,29.45,Excess,174.4,150.8,86.5,308.9,514.5,166.6,266.9,222.3,83.3,183.6,321.2,174.9,Maharain Portal
Pune,Kolhapur,2022,Monsoon,1326.2,1733.1,-406.9,-23.48,Deficit,362.9,107.5,29.6,685.5,540.9,78.9,485.9,427.4,88.0,198.8,250.4,126.0,Maharain Portal
Pune,Pune,2022,Monsoon,1039.7,861.6,178.1,20.67,Excess,176.2,83.1,47.2,309.3,435.7,140.9,219.6,260.6,118.7,156.5,260.3,166.3,Maharain Portal
Pune,Sangli,2022,Monsoon,584.4,514.5,69.9,13.59,Normal,129.0,68.5,53.1,135.5,197.9,146.1,111.4,153.7,138.0,138.6,164.3,118.5,Maharain Portal
Pune,Satara,2022,Monsoon,927.5,886.2,41.3,4.66,Normal,194.1,78.6,40.5,307.2,384.0,125.0,224.8,261.3,116.2,160.1,203.6,127.2,Maharain Portal
Pune,Solapur,2022,Monsoon,526.6,481.1,45.5,9.46,Normal,102.5,87.0,84.9,94.8,155.3,163.8,107.5,100.6,93.6,176.3,183.7,104.2,Maharain Portal
Amravati,Akola,2023,Monsoon,503.7,693.7,-190.0,-27.39,Deficit,136.9,29.5,21.5,223.2,292.0,130.8,215.5,37.9,17.6,118.1,144.3,122.2,Maharain Portal
